staging_row_key,application_key,review_status,blocker_codes,priority,safety_critical,assigned_reviewer,notes,queued_at
BMW|R 1300 GS|base|KA1|ENGINE.LUBE.FILTER|11427105320|US,BMW|R 1300 GS|base|KA1|ENGINE.LUBE.FILTER|11427105320|US,NEEDS_REVIEW,REGION_MISMATCH,NORMAL,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-eu-cross-check-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=US; evidence_level=C; region_match_status=REGION_MISMATCH; US bootstrap — EU cross-chec,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|ENGINE.LUBE.FILTER|11427105320|EU,BMW|R 1300 GS|base|KA1|ENGINE.LUBE.FILTER|11427105320|EU,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-upgrade-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=B; region_match_status=CROSS_REGION_MATCH; KA1/0M21 microfiche pos 1; U,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|ENGINE.LUBE.OIL|SAE5W40|GLOBAL,BMW|R 1300 GS|base|KA1|ENGINE.LUBE.OIL|SAE5W40|GLOBAL,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; source_model_code=0M21; source_year=2024; verification_region=GLOBAL; evidence_level=A; API SL / JASO MA2; HF160RC referenced in service schedules,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|INTAKE.FILTER|13725A72844|US,BMW|R 1300 GS|base|KA1|INTAKE.FILTER|13725A72844|US,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-oem-skus-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=US; evidence_level=B; region_match_status=CROSS_REGION_MATCH; Resolved: US maintenance BOM tr,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|INTAKE.FILTER|13725A72844|EU,BMW|R 1300 GS|base|KA1|INTAKE.FILTER|13725A72844|EU,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-upgrade-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=B; region_match_status=CROSS_REGION_MATCH; KA1/0M21 microfiche pos 4; U,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|ELECTRICS.IGNITION.SPARK|12128560811|EU,BMW|R 1300 GS|base|KA1|ELECTRICS.IGNITION.SPARK|12128560811|EU,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=C; region_match_status=TARGET_REGION_MATCH; Two spark plugs per service interval,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.FRONT.PADS|34117108409|US,BMW|R 1300 GS|base|KA1|BRAKES.FRONT.PADS|34117108409|US,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-eu-cross-check-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=US; evidence_level=C; region_match_status=CROSS_REGION_MATCH; One set per caliper; two ,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.FRONT.PADS|34117108409|EU,BMW|R 1300 GS|base|KA1|BRAKES.FRONT.PADS|34117108409|EU,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-upgrade-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=B; region_match_status=CROSS_REGION_MATCH; KA1/0M21 microfiche pos 3; U,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.REAR.PADS|34217108470|US,BMW|R 1300 GS|base|KA1|BRAKES.REAR.PADS|34217108470|US,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-eu-cross-check-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=US; evidence_level=C; region_match_status=CROSS_REGION_MATCH; EU cross-check confirms s,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.REAR.PADS|34217108470|EU,BMW|R 1300 GS|base|KA1|BRAKES.REAR.PADS|34217108470|EU,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-eu-cross-check-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=B; region_match_status=TARGET_REGION_MATCH; Cross-check: US+EU deale,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.FRONT.DISC|34118881343|EU,BMW|R 1300 GS|base|KA1|BRAKES.FRONT.DISC|34118881343|EU,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=C; region_match_status=TARGET_REGION_MATCH; Wheel option: cast or cross-spoke — not,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.FRONT.DISC|34117105037|EU,BMW|R 1300 GS|base|KA1|BRAKES.FRONT.DISC|34117105037|EU,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=C; region_match_status=TARGET_REGION_MATCH; Wheel option: Enduro forged rims only —,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.REAR.DISC|34211627694|EU,BMW|R 1300 GS|base|KA1|BRAKES.REAR.DISC|34211627694|EU,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=C; region_match_status=TARGET_REGION_MATCH,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.FLUID|DOT4|GLOBAL,BMW|R 1300 GS|base|KA1|BRAKES.FLUID|DOT4|GLOBAL,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; source_model_code=0M21; source_year=2024; verification_region=GLOBAL; evidence_level=A; Low-viscosity DOT 4 LV per BMW Motorrad service; OEM SKU row 83105A87362,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.FLUID|83105A87362|EU,BMW|R 1300 GS|base|KA1|BRAKES.FLUID|83105A87362|EU,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-us-fluids-cross-check-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=B; region_match_status=CROSS_REGION_MATCH; Current OEM LV DOT,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.FLUID|83105A87362|US,BMW|R 1300 GS|base|KA1|BRAKES.FLUID|83105A87362|US,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-us-fluids-cross-check-2026-06-16; source_model_code=KA1/0M23; source_year=2024; verification_region=US; evidence_level=B; region_match_status=CROSS_REGION_MATCH; RealOEM KA1 USA br,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|TIRES.FRONT|12070R19|GLOBAL,BMW|R 1300 GS|base|KA1|TIRES.FRONT|12070R19|GLOBAL,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; source_model_code=KA1; source_year=2024; verification_region=GLOBAL; evidence_level=A; Load index min. 60 per repair manual,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|TIRES.REAR|17060R17|GLOBAL,BMW|R 1300 GS|base|KA1|TIRES.REAR|17060R17|GLOBAL,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; source_model_code=KA1; source_year=2024; verification_region=GLOBAL; evidence_level=A; Load index min. 72 per repair manual,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|ELECTRICS.BATTERY|61215A64DC8|EU,BMW|R 1300 GS|base|KA1|ELECTRICS.BATTERY|61215A64DC8|EU,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=C; region_match_status=TARGET_REGION_MATCH; Factory option: Li-ion — conflicts with,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|ELECTRICS.BATTERY|61218389125|US,BMW|R 1300 GS|base|KA1|ELECTRICS.BATTERY|61218389125|US,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-eu-cross-check-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=US; evidence_level=C; region_match_status=CROSS_REGION_MATCH; Factory option: standard ,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|ELECTRICS.BATTERY|61218389125|EU,BMW|R 1300 GS|base|KA1|ELECTRICS.BATTERY|61218389125|EU,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-eu-cross-check-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=C; region_match_status=TARGET_REGION_MATCH; Cross-check: US+EU deale,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|SUSPENSION.FRONT.SEALS||GLOBAL,BMW|R 1300 GS|base|KA1|SUSPENSION.FRONT.SEALS||GLOBAL,NOT_APPLICABLE,SAFETY_CRITICAL|LOW_EVIDENCE,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; source_model_code=0M21; No telescopic fork; node not applicable,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|SUSPENSION.FRONT.OIL||GLOBAL,BMW|R 1300 GS|base|KA1|SUSPENSION.FRONT.OIL||GLOBAL,NOT_APPLICABLE,LOW_EVIDENCE,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; source_model_code=0M21; Central shock absorber front; no fork oil service node,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|COOLING.LIQUID.COOLANT||GLOBAL,BMW|R 1300 GS|base|KA1|COOLING.LIQUID.COOLANT||GLOBAL,NEEDS_REVIEW,,LOW,false,,"parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; source_model_code=0M21; source_year=2024; verification_region=GLOBAL; evidence_level=A; Service spec; OEM SKU row 83515A87B45 (1.5L concentrate, dilute 1:1)",2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|COOLING.LIQUID.COOLANT|83515A87B45|EU,BMW|R 1300 GS|base|KA1|COOLING.LIQUID.COOLANT|83515A87B45|EU,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-us-fluids-cross-check-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=EU; evidence_level=B; region_match_status=CROSS_REGION_MATCH; BMW Motorrad radia,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|COOLING.LIQUID.COOLANT|83515A87B45|US,BMW|R 1300 GS|base|KA1|COOLING.LIQUID.COOLANT|83515A87B45|US,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-us-fluids-cross-check-2026-06-16; source_model_code=KA1/0M23; source_year=2024; verification_region=US; evidence_level=B; region_match_status=CROSS_REGION_MATCH; RealOEM KA1 USA ma,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|DRIVETRAIN.CHAIN||GLOBAL,BMW|R 1300 GS|base|KA1|DRIVETRAIN.CHAIN||GLOBAL,NOT_APPLICABLE,LOW_EVIDENCE,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; Shaft drive; chain node not applicable,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|DRIVETRAIN.FRONT_SPROCKET||GLOBAL,BMW|R 1300 GS|base|KA1|DRIVETRAIN.FRONT_SPROCKET||GLOBAL,NOT_APPLICABLE,LOW_EVIDENCE,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; Shaft drive; front sprocket node not applicable,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|DRIVETRAIN.REAR_SPROCKET||GLOBAL,BMW|R 1300 GS|base|KA1|DRIVETRAIN.REAR_SPROCKET||GLOBAL,NOT_APPLICABLE,LOW_EVIDENCE,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-2026-06-16; Shaft drive; rear sprocket node not applicable,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|ENGINE.LUBE.FILTER|11427105320|GLOBAL,BMW|R 1300 GS|base|KA1|ENGINE.LUBE.FILTER|11427105320|GLOBAL,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-upgrade-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=GLOBAL; evidence_level=A; epc_interface=public_microfiche; RealOEM KA1 confirms Oil filter,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|INTAKE.FILTER|13725A72844|GLOBAL,BMW|R 1300 GS|base|KA1|INTAKE.FILTER|13725A72844|GLOBAL,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-upgrade-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=GLOBAL; evidence_level=A; epc_interface=public_microfiche; RealOEM KA1 confirms Intake sil,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.FRONT.PADS|34117108409|GLOBAL,BMW|R 1300 GS|base|KA1|BRAKES.FRONT.PADS|34117108409|GLOBAL,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-upgrade-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=GLOBAL; evidence_level=A; epc_interface=public_microfiche; RealOEM KA1 Front wheel brake E,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.REAR.PADS|34217108470|GLOBAL,BMW|R 1300 GS|base|KA1|BRAKES.REAR.PADS|34217108470|GLOBAL,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-positions-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=GLOBAL; evidence_level=A; epc_interface=public_microfiche; epc_position_source=bmwestore,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.FRONT.DISC|34118881343|GLOBAL,BMW|R 1300 GS|base|KA1|BRAKES.FRONT.DISC|34118881343|GLOBAL,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-upgrade-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=GLOBAL; evidence_level=A; epc_interface=public_microfiche; cast/cross-spoke wheel option; ,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.FRONT.DISC|34117105037|GLOBAL,BMW|R 1300 GS|base|KA1|BRAKES.FRONT.DISC|34117105037|GLOBAL,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-positions-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=GLOBAL; evidence_level=A; epc_interface=public_microfiche; epc_position_source=bmwestore,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.REAR.DISC|34211627694|GLOBAL,BMW|R 1300 GS|base|KA1|BRAKES.REAR.DISC|34211627694|GLOBAL,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-positions-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=GLOBAL; evidence_level=A; epc_interface=public_microfiche; epc_position_source=bmwestore,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|ELECTRICS.IGNITION.SPARK|12128560811|GLOBAL,BMW|R 1300 GS|base|KA1|ELECTRICS.IGNITION.SPARK|12128560811|GLOBAL,NEEDS_REVIEW,SAFETY_CRITICAL,HIGH,true,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-positions-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=GLOBAL; evidence_level=A; epc_interface=public_microfiche; epc_position_source=dealer_ep,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|ELECTRICS.BATTERY|61215A64DC8|GLOBAL,BMW|R 1300 GS|base|KA1|ELECTRICS.BATTERY|61215A64DC8|GLOBAL,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-positions-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=GLOBAL; evidence_level=A; epc_interface=public_microfiche; epc_position_source=bmwestore,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|ELECTRICS.BATTERY|61218389125|GLOBAL,BMW|R 1300 GS|base|KA1|ELECTRICS.BATTERY|61218389125|GLOBAL,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-positions-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=GLOBAL; evidence_level=A; epc_interface=public_microfiche; epc_position_source=bmwestore,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|BRAKES.FLUID|83105A87362|GLOBAL,BMW|R 1300 GS|base|KA1|BRAKES.FLUID|83105A87362|GLOBAL,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-positions-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=GLOBAL; evidence_level=A; epc_interface=public_microfiche; epc_position_source=dealer_ep,2026-06-16T12:00:00.000Z
BMW|R 1300 GS|base|KA1|COOLING.LIQUID.COOLANT|83515A87B45|GLOBAL,BMW|R 1300 GS|base|KA1|COOLING.LIQUID.COOLANT|83515A87B45|GLOBAL,NEEDS_REVIEW,,LOW,false,,parser_version=parts-staging-v1; import_batch=bmw-r-1300-gs-epc-positions-2026-06-16; source_model_code=KA1/0M21; source_year=2024; verification_region=GLOBAL; evidence_level=A; epc_interface=public_microfiche; epc_position_source=hubauer_e,2026-06-16T12:00:00.000Z
